job_id,workload_type,gpu_type,runtime_hours,processing_time_slots,cloud_cost_usd,deadline_type,deadline_hours,deadline_slots,density
0,model_training_small,T4,3.01,7,1.63,soon,17.6,36,0.2329
1,data_preprocessing,T4,1.34,3,0.74,urgent,11.7,24,0.2467
2,inference_pipeline,T4,0.58,2,0.28,soon,30.9,62,0.14
3,model_training_small,T4,1.26,3,0.59,soon,25.2,51,0.1967
4,model_training_small,T4,2.32,5,1.23,moderate,53.6,108,0.246
5,model_training_large,P100,2.92,6,4.88,relaxed,614.2,1229,0.8133
6,model_training_small,T4,0.77,2,0.4,urgent,7.0,14,0.2
7,data_preprocessing,T4,1.31,3,0.72,soon,30.7,62,0.24
8,model_training_large,P100,3.6,8,5.75,relaxed,661.9,1324,0.7188
9,model_training_large,P100,7.76,16,10.39,urgent,5.3,17,0.6494
10,model_training_small,T4,1.26,3,0.63,soon,31.5,64,0.21
11,data_preprocessing,T4,1.12,3,0.68,moderate,71.8,144,0.2267
12,data_preprocessing,T4,1.29,3,0.73,moderate,56.9,114,0.2433
13,model_training_small,T4,0.85,2,0.46,soon,14.3,29,0.23
14,model_training_small,T4,1.37,3,0.75,relaxed,428.7,858,0.25
15,data_preprocessing,T4,1.16,3,0.62,moderate,107.3,215,0.2067
16,model_training_large,P100,4.52,10,5.88,urgent,8.4,17,0.588
17,model_training_small,T4,1.92,4,0.93,soon,39.2,79,0.2325
18,model_training_small,T4,0.66,2,0.31,relaxed,614.1,1229,0.155
19,model_training_large,P100,8.59,18,11.47,relaxed,465.7,932,0.6372
20,inference_pipeline,T4,1.75,4,0.81,soon,27.4,55,0.2025
21,inference_pipeline,T4,1.58,4,0.83,soon,20.0,40,0.2075
22,data_preprocessing,T4,0.62,2,0.31,moderate,132.4,265,0.155
23,model_training_small,T4,3.2,7,1.55,moderate,84.1,169,0.2214
24,model_training_small,T4,0.61,2,0.32,urgent,4.8,10,0.16
25,ensemble_submission,P100,2.04,5,3.0,relaxed,301.6,604,0.6
26,fine_tuning_llm,V100,9.34,19,28.6,soon,34.8,70,1.5053
27,model_training_large,P100,5.28,11,8.56,soon,18.7,38,0.7782
28,data_preprocessing,T4,0.96,2,0.43,moderate,75.2,151,0.215
29,model_training_large,P100,3.34,7,4.76,relaxed,243.9,488,0.68
30,model_training_small,T4,0.85,2,0.5,soon,35.8,72,0.25
31,inference_pipeline,T4,1.23,3,0.6,urgent,11.0,22,0.2
32,ensemble_submission,P100,4.03,9,5.67,moderate,155.7,312,0.63
33,inference_pipeline,T4,1.66,4,0.76,soon,44.3,89,0.19
34,model_training_large,P100,1.9,4,2.94,urgent,3.6,8,0.735
35,model_training_large,P100,7.05,15,9.53,moderate,76.5,153,0.6353
36,model_training_small,T4,2.44,5,1.41,moderate,116.2,233,0.282
37,data_preprocessing,T4,0.59,2,0.29,relaxed,385.0,770,0.145
38,inference_pipeline,T4,1.43,3,0.75,moderate,107.1,215,0.25
39,data_preprocessing,T4,1.06,3,0.48,moderate,69.3,139,0.16
40,ensemble_submission,P100,6.25,13,8.85,urgent,11.3,23,0.6808
41,model_training_small,T4,3.19,7,1.85,soon,25.9,52,0.2643
42,inference_pipeline,T4,0.75,2,0.4,relaxed,552.2,1105,0.2
43,model_training_large,P100,2.74,6,4.63,urgent,7.2,15,0.7717
44,inference_pipeline,T4,1.61,4,0.89,soon,22.6,46,0.2225
