job_id,workload_type,gpu_type,runtime_hours,processing_time_slots,cloud_cost_usd,deadline_type,deadline_hours,deadline_slots,density
0,ensemble_submission,P100,3.91,8,6.33,soon,16.6,34,0.7912
1,inference_pipeline,T4,0.98,2,0.56,moderate,67.5,136,0.28
2,data_preprocessing,T4,0.58,2,0.33,moderate,98.9,198,0.165
3,ensemble_submission,P100,5.56,12,9.11,urgent,2.3,13,0.7592
4,fine_tuning_llm,V100,8.54,18,27.83,moderate,113.8,228,1.5461
5,fine_tuning_llm,V100,8.23,17,24.16,soon,39.3,79,1.4212
6,ensemble_submission,P100,5.77,12,7.99,urgent,11.1,23,0.6658
7,ensemble_submission,P100,2.8,6,3.51,urgent,3.2,7,0.585
8,inference_pipeline,T4,0.92,2,0.47,soon,27.4,55,0.235
9,data_preprocessing,T4,1.46,3,0.71,moderate,154.7,310,0.2367
10,model_training_large,P100,3.67,8,5.84,soon,28.0,56,0.73
11,model_training_small,T4,2.0,5,0.98,moderate,120.0,240,0.196
12,model_training_small,T4,1.79,4,0.92,moderate,52.3,105,0.23
13,model_training_small,T4,2.94,6,1.52,relaxed,322.6,646,0.2533
14,data_preprocessing,T4,1.45,3,0.66,moderate,132.6,266,0.22
15,data_preprocessing,T4,1.47,3,0.67,moderate,95.2,191,0.2233
16,model_training_small,T4,1.89,4,1.01,soon,34.2,69,0.2525
17,data_preprocessing,T4,0.25,1,0.13,urgent,2.5,5,0.13
18,inference_pipeline,T4,1.52,4,0.77,moderate,77.0,154,0.1925
19,model_training_large,P100,4.39,9,6.5,moderate,151.1,303,0.7222
20,model_training_small,T4,0.68,2,0.4,relaxed,296.6,594,0.2
21,fine_tuning_llm,V100,6.64,14,18.25,soon,27.9,56,1.3036
22,inference_pipeline,T4,0.78,2,0.43,soon,22.7,46,0.215
23,inference_pipeline,T4,0.45,1,0.26,moderate,104.3,209,0.26
24,data_preprocessing,T4,0.36,1,0.2,relaxed,598.9,1198,0.2
25,data_preprocessing,T4,0.22,1,0.11,relaxed,618.6,1238,0.11
26,ensemble_submission,P100,1.02,3,1.66,soon,14.9,30,0.5533
